sequence,level,property_type,identifier,module,class_term,property_term,association_role,representation_term,associated_module,associated_class,multiplicity,definition,label_local,definition_local,id
229,2,Attribute,,bus,Accountant,Accountant Type of Engagement Description,,String,,,0..1,Free format description of the type of engagement,契約種別説明,契約種別の説明。,BU26-03
230,2,Composition,,bus,Accountant,,,,bus,Accountant_ Address,0..*,Class which contains accountant address information.,【会計事務所住所】,会計事務所の住所情報を含むセクション。,BU26-04
231,2,Composition,,bus,Accountant,,,,bus,Accountant_ Contact,0..*,Accountant Contact Information Class,【会計事務所担当者情報】,会計事務所の担当者情報の構造体。,BU26-05
232,1,Class,,bus,Period,,,,,,0..*,A tool to collect a specific set of periods used to summarize results from transactions.,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,BU27
233,2,Attribute,PK,bus,Period,Period ID,,String,,,0..1,An identifier for this period in this calendar,報告期間識別子,このカレンダーにおけるこの期間の識別子。,BU27-01
234,2,Attribute,,bus,Period,Period Description,,String,,,0..1,A description of this specific reporting period in this calendar.,期間説明,このカレンダーにおけるこの特定の期間の説明。,BU27-02
235,2,Attribute,,bus,Period,Period Start Date,,Date Time,,,0..1,The beginning date/time of a period,期間開始日付,期間の開始日付/時刻,BU27-03
236,2,Attribute,,bus,Period,Period End Date,,Date Time,,,0..1,The ending date/time of a period,期間終了日付,期間の終了日付/時刻,BU27-04
237,1,Class,,bus,Reporting Calendar_ Period,,,,,,0..*,A tool to collect a specific set of periods used to summarize results from transactions.,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,BU28
238,2,Attribute,PK,bus,Reporting Calendar_ Period,Period ID,,String,,,0..1,An identifier for this period in this calendar,報告期間識別子,このカレンダーにおけるこの期間の識別子。,BU28-01
239,2,Attribute,,bus,Reporting Calendar_ Period,Period Description,,String,,,0..1,A description of this specific reporting period in this calendar.,期間説明,このカレンダーにおけるこの特定の期間の説明。,BU28-02
240,2,Attribute,,bus,Reporting Calendar_ Period,Period Start Date,,Date Time,,,0..1,The beginning date/time of a period,期間開始日付,期間の開始日付/時刻,BU28-03
241,2,Attribute,,bus,Reporting Calendar_ Period,Period End Date,,Date Time,,,0..1,The ending date/time of a period,期間終了日付,期間の終了日付/時刻,BU28-04
242,2,Attribute,,bus,Reporting Calendar_ Period,Reporting Calendar_ Period Closed Date,,Date Time,,,0..1,"The date/time a period has been closed for activity. If this is present with a nill value (xsi:nill=""true"") then the period is not closed.",期間締日付,"この期間の活動が締め切られた日付/時刻。この値がニル値(xsi:nill=""true"")であれば、この期間は、締め切られていない。",BU28-05
243,1,Class,,bus,Reporting Calendar,,,,,,0..*,A tool to collect the periods used to summarise results from transactions.,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,BU29
244,2,Attribute,PK,bus,Reporting Calendar,Reporting Calendar Code,,String,,,0..1,"The code used to identify this specific reporting calendar, unique across periods",報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。,BU29-01
245,2,Attribute,,bus,Reporting Calendar,Reporting Calendar Description,,String,,,0..1,A description of the reporting calendar (associated with the reportingCalendarCode given),報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。,BU29-02
246,2,Attribute,,bus,Reporting Calendar,Reporting Calendar Title,,String,,,0..1,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' class,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。,BU29-03
247,2,Attribute,,bus,Reporting Calendar,Reporting Calendar Period Type,,Token,,,0..1,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",期間種別コード,"報告期間の種別コード。月次、四半期ごと、半期ごと、4-5-4、随時、その他_x000D_
[設定値のリスト]_x000D_
(monthly：月次)、(quarterly：四半期ごと)、(semi-annually：半期ごと)、(4-5-4：4-5-4)、(ad-hoc：随時)、(other：その他)",BU29-04
248,2,Attribute,,bus,Reporting Calendar,Reporting Calendar Period Type Description,,String,,,0..1,A description of the type of period involved.,期間種別説明,報告期間の種別の説明。,BU29-05
249,2,Attribute,,bus,Reporting Calendar,Reporting Calendar Closed Status,,Token,,,0..1,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",締状態,"報告カレンダーがオープンかどうかを示す識別子。オープン、締切り済み、保留中_x000D_
[設定値のリスト]_x000D_
(open：オープン)、(closed：締切り済み)、(pending：保留中)",BU29-06
250,2,Attribute,,bus,Reporting Calendar,Reporting Calendar Purpose,,Token,,,0..1,A description of the accounting set of books involved. Uses enumeration from accounting method purpose.,報告目的,"帳簿の集合の説明。会計処理方法の目的の列挙値を使用する。_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",BU29-07
251,2,Attribute,,bus,Reporting Calendar,Reporting Calendar Purpose Description,,String,,,0..1,Free format description of the reporting purpose,報告目的説明,報告目的の説明。,BU29-08
252,2,Composition,,bus,Reporting Calendar,,,,bus,Reporting Calendar_ Period,0..*,A tool to collect a specific set of periods used to summarize results from transactions.,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,BU29-09
253,1,Class,,cor,External Authority,,,,,,0..*,Class containing references to an external authority associated with identifier,【外部機関】,識別子と関係付けられる外部機関への参照情報を含む構造体。,CO12
254,2,Attribute,PK,cor,External Authority,External Authority Code,,String,,,0..1,"External Authority (e,g, Tax Authority) ID Number associated with identifierReference",外部機関付与識別番号,identifierReferenceと関係付けられる、外部機関（たとえば、税務署）によるID番号。,CO12-01
255,2,Attribute,,cor,External Authority,External Authority Name,,String,,,0..1,Name of External Authority (e.g. Tax Authority),外部機関名,外部機関の名前（たとえば、税務署）,CO12-02
256,2,Attribute,,cor,External Authority,External Authority Verification Date,,Date Time,,,0..1,Date on which the External Authority last performed a verification,外部機関認証日付,外部機関が最後に認証した日付。,CO12-03
257,1,Class,,bus,Organization Identifier,,,,,,0..*,Class which contains various identifiers for the party.,【識別子】,組織に関する様々な識別子を含むセクション。,BU30
258,2,Attribute,PK,bus,Organization Identifier,Organization Identifier Code,,String,,,0..1,"Code representing the company or organization whose data this file represents: used for situations where one user (e.g., a CPA) needs to keep track of multiple organizations' files (e.g., multiple clients). Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR.",事業体識別子,このファイルでデータを表現している会社や組織のコード。ひとりのユーザ(例えば、公認会計士)が複数の組織(例えば、複数の顧客)のファイルを把握する必要がある場合に使用される。 EIN番号、顧客番号、内部/外部識別子、SICコードであってよい。事業体の識別子をコード化する。コードを発行する権威ある組織のコード識別子、コロン、およびコードそのものを含む。 例えば、SEC　EDGARが発行したCIK番号　CIK: 01234567。,BU30-01
259,2,Attribute,,bus,Organization Identifier,Organization Identifier Description,,String,,,0..1,Text describing the organization identified by the organization identifier. Includes any relevant information about the code itself (e.g. issuing authority).,事業体説明,事業体識別子によって特定された組織の説明文。 コードに関するなんらかの記述情報。,BU30-02
260,1,Class,,cor,Detail_ Identifier Reference,,,,,,0..*,"Identification for customer, vendor, or employee.",【CVE情報】,顧客、仕入先、従業員のための識別子。,CO13
261,2,Attribute,PK,cor,Detail_ Identifier Reference,Identifier Code,,String,,,0..1,Unique ID Number associated with identifierReference,CVE識別番号（内部）,identifierReferenceに関係付けられた、内部ID番号。,CO13-01
262,2,Attribute,,cor,Detail_ Identifier Reference,Identifier Purpose,,String,,,0..1,"Freeform for codes like purchasing, billing, manufacturing at identifier level.",CVE目的,購買、請求、製造などの、CVE識別子のレベルのコードの自由記述。,CO13-02
263,2,Attribute,,cor,Detail_ Identifier Reference,Identifier Active,,Boolean,,,0..1,"Boolean to indicate whether the identifier is active (=""true"") or inactive (=""false"")",CVE有効性,CVE識別子が有効か無効かを示すブール値。,CO13-03
264,2,Attribute,,cor,Detail_ Identifier Reference,Identifier Organization Type,,Token,,,0..1,"Identifier Organization Type. Enumerated as: individual, organization, other.",CVE組織種別,"CVE識別子の組織種別。_x000D_
[設定値のリスト]_x000D_
(individual：個人)、(organization：組織)、(other：その他)",CO13-04
265,2,Attribute,,cor,Detail_ Identifier Reference,Identifier Organization Type Description,,String,,,0..1,Free format description of the identifier organization type,CVE組織種別説明,CVE識別子の組織種別の説明。,CO13-05
266,2,Attribute,,cor,Detail_ Identifier Reference,Identifier Description,,String,,,0..1,Textual description of identifierReference.,CVE説明,identifierReferenceの説明。,CO13-06
267,2,Attribute,,cor,Detail_ Identifier Reference,Identifier Type,,Token,,,0..1,"Entity type (enumerated): C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",CVE種別,実体の種別。_x000D_ [設定値のリスト]_x000D_ (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者),CO13-07
268,2,Attribute,,cor,Detail_ Identifier Reference,Identifier Category,,String,,,0..1,"For use as Customer, Vendor or Employee Class (such as Residential/Commercial/Institutional/Government or Retail/Wholesale or other classifications used by business).",CVEカテゴリ,顧客、仕入先、従業員の分類に使用する。　（住居/商業/機関/政府や、小売/卸や、ビジネスで使用されるその他の分類）。,CO13-08
269,2,Composition,,cor,Detail_ Identifier Reference,,,,cor,External Authority,0..*,Class containing references to an external authority associated with identifier,【外部機関】,識別子と関係付けられる外部機関への参照情報を含む構造体。,CO13-09
270,2,Composition,,cor,Detail_ Identifier Reference,,,,cor,Identifier_ Phone,0..*,Phone number related to Identifier.,【電話番号】,CVE識別子の電話番号。,CO13-10
271,2,Composition,,cor,Detail_ Identifier Reference,,,,cor,Identifier_ Fax,0..*,Fax number class related to identifier.,【FAX番号】,CVE識別子のFAX番号の構造体。,CO13-11
272,2,Composition,,cor,Detail_ Identifier Reference,,,,cor,Identifier_ Email,0..*,Email address for Identifier.,【CVEEメールアドレス】,CVE識別子のEメールアドレス。,CO13-12
273,2,Composition,,cor,Detail_ Identifier Reference,,,,cor,Identifier_ Address,0..*,"Address (block) of customer, vendor, employee for integration purposes, VAT.",【CVE住所】,統合目的やVATのための、顧客、仕入先、従業員の住所(ブロック)。,CO13-13
274,2,Composition,,cor,Detail_ Identifier Reference,,,,cor,Identifier_ Contact,0..*,Identifier Contact Information Class,【CVE担当者情報】,CVE識別子の担当者情報の構造体。,CO13-14
275,1,Class,,cor,Entity_ Party,,,,,,0..1,Holder for entity information - information about the reporting organization.,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,CO14
276,2,Attribute,,cor,Entity_ Party,Party Name,,String,,,0..1,Name of the party,,,CO14-01
277,2,Attribute,,cor,Entity_ Party,Party ID,,String,,,0..1,ID Number of the party,,,CO14-02
278,2,Attribute,,cor,Entity_ Party,Party Business Description,,String,,,0..1,Description of the nature of the business of the party.,業種説明,事業体の事業の種類についての説明。,CO14-03
279,2,Composition,,cor,Entity_ Party,,,,bus,Party_ Phone,0..*,Primary phone number of the party.,【事業体電話番号】,事業体の主要電話番号情報。,CO14-04
280,2,Composition,,cor,Entity_ Party,,,,bus,Party_ Fax,0..*,Class for holding company fax information.,【事業体FAX番号】,事業体のFAX番号情報のタプル。,CO14-05
281,2,Composition,,cor,Entity_ Party,,,,bus,Party_ Email,0..*,Class for holding company email information.,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。,CO14-06
282,2,Composition,,cor,Entity_ Party,,Registered,,bus,Organization Identifier,0..*,Class which contains various identifiers for theparty.,【識別子】,組織に関する様々な識別子を含むセクション。,CO14-07
283,2,Composition,,cor,Entity_ Party,,,,bus,Party_ Address,0..*,Address class for the party,【住所】,報告事業体の住所構造体。,CO14-08
284,2,Composition,,cor,Entity_ Party,,,,bus,Party_ Web Site,0..*,Primary web site of the party.,【事業体Webサイト】,事業体の代表ウェブサイト。,CO14-09
285,2,Composition,,cor,Entity_ Party,,,,bus,Party_ Contact,0..*,Information about contacts.,【担当者情報】,担当者に関する情報。,CO14-10
286,2,Attribute,,cor,Entity_ Party,Default Accounting Method Purpose,,Token,,,0..1,"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other",既定会計処理方法目的,"明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",CO14-11
287,2,Attribute,,cor,Entity_ Party,Default Accounting Method Purpose Description,,String,,,0..1,Free format description of the default accounting method purpose,既定会計処理方法目的説明,既定の会計処理方法目的の説明。,CO14-12
288,2,Attribute,,cor,Entity_ Party,Fiscal Year Start,,Date,,,0..1,"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,CO14-13
289,2,Attribute,,cor,Entity_ Party,Fiscal Year End,,Date,,,0..1,"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,CO14-14
290,2,Composition,,cor,Entity_ Party,,Specified,,bus,Accounting Method Structure,0..*,Class for identifying the methods of accounting used by the entity for different reporting purposes,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。,CO14-15
291,2,Aggregation,,cor,Entity_ Party,,Assigned,,bus,Accountant,0..*,Information about the relevant external accountant,【会計事務所情報】,関連する外部会計事務所に関する情報。,CO14-16
292,2,Composition,,cor,Entity_ Party,,Specified,,bus,Reporting Calendar,0..*,A tool to collect the periods used to summarise results from transactions.,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,CO14-17
293,1,Class,,cor,Subaccount,,,,,,0..*,Class to hold multiple accountSubIDs and Descriptions,【補助勘定科目情報】,複数のaccountSubIDと説明文を含むタプル。,CO15
294,2,Attribute,,cor,Subaccount,Subaccount Description,,String,,,0..1,The description that accompanies accountSubID belongs here.,補助勘定科目説明,accountSubIDに関する説明。,CO15-01
295,2,Attribute,,cor,Subaccount,Subaccount ID,,String,,,0..1,"Where the primary account was placed in accountMainID, the code used for each profit center, division, business unit, fund, program, branch, project, class, su-class or other modifier is placed here.",補助勘定科目コード,主勘定科目をaccountMainIDに指定したときに、各プロフィットセンタ、事業部、事業体、基金、プログラム、支店、プロジェクト、クラス、su-クラス又は他の修飾子に使用されるコードはここに指定する。,CO15-02
296,2,Attribute,,cor,Subaccount,Type,,Token,,,0..1,"Type of sub-account - profit center, division, business unit, fund, program, branch, project, class, su-class or other modifier is placed here. For example:: Accountability center: Business unit: Class:Department: Project: Fund: Program:Job: Profit center: Branch: Setup class: Division: Unit",補助勘定科目種別,小勘定科目の種別。プロフィットセンタ、事業部、事業体、基金、プログラム、支店、プロジェクト、クラス、su-クラス又は他の修飾子がここに配置される。 例えば、責任単位、事業単位、クラス、部、プロジェクト、基金、プログラム、ジョブ、プロフィットセンター、支店、セットアップクラス、部門、ユニット,CO15-03
297,2,Reference Association,,cor,Subaccount,,,,cor,Parent Subaccount,0..1,Reference to the ID of the parent subaccount.,親補助勘定科目コード,,CO15-04
298,1,Class,,cor,Parent Subaccount,,,,,,0..*,Class for showing the detail necessary to roll up from one segment (type of subaccount) to another.,【親補助勘定科目情報】,あるセグメント（補助勘定の種別）から別のセグメントへ集約（ロールアップ）するために必要な詳細を表すクラス。,CO16
299,2,Attribute,PK,cor,Parent Subaccount,Parent Subaccount Code,,String,,,0..1,Subaccount NUMBER this subaccount rolls up to - see also subaccount type it rolls up to.,親補助勘定科目コード,この小勘定科目のロールアップ先の小勘定科目の番号-ロールアップ先の小勘定科目の種別も参照。,CO16-01
300,2,Attribute,,cor,Parent Subaccount,Parent Subaccount Type,,String,,,0..1,The describer of the segment this subaccount rolls up to.,親補助勘定科目種別,この小勘定科目のロールアップ先のセグメントの説明。,CO16-02
301,2,Attribute,,cor,Parent Subaccount,Parent Subaccount Reporting Tree ID,,String,,,0..1,Used for representing descriptions of reporting trees.,親補助勘定レポーティングツリーID,レポーティングツリーの階層構造における親ノードを識別するために用いられる識別子。,CO16-03
302,2,Attribute,,cor,Parent Subaccount,Parent Subaccount Percentage,,Pure,,,0..1,"For partial allocations of amounts to different parents, the percentage of a child that will be allocated to a parent.",親補助勘定科目配分パーセンテージ,異なる親科目に配分する場合に、親科目に割り当てるパーセンテージ。,CO16-04
303,1,Class,,cor,Detail_ Account Identifier,,,,,,0..*,"Class: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: 

/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",【科目識別子】,"タプル。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。_x000D_
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",CO17
304,2,Attribute,PK,cor,Detail_ Account Identifier,Account Number,,String,,,0..1,"Main account - the code used to identify the accounting bucket the entry has been assigned to. Examples might be 1000 for Cash, 567GAAZ for Sales Expense or Z for tax payments. Identifiers such as department, branch, division, manager, or other modifiers are noted in the Subaccount area. Before needing to post, account is not necessary. Posting to the general ledger almost always requires an entry here.",主勘定科目コード,"主勘定科目。仕訳が関連する会計バケットを特定するためのコード。例えば、現金を表す1000、販売費を表す567GAAZ、税を表すZ。_x000D_
部門、支店、事業部、マネージャ、その他の識別子は、Subaccount領域に記述される。転記の必要がなければ、勘定科目は必要ではない。総勘定元帳に転記するにはほとんどの場合必要。",CO17-01
305,2,Attribute,,cor,Detail_ Account Identifier,Account Description,,String,,,0..1,Description of accountMainID - the human readable describer that accompanies the code used in accountMainID,主勘定科目説明,主勘定科目コードの説明。主勘定科目コードとして使用されるコードについての、人が読める記述。,CO17-02
306,2,Attribute,,cor,Detail_ Account Identifier,Account Classification,,Token,,,0..1,"Account type - FASB Concepts 6 and similar international designs. When xbrlInfo is used to associated other XBRL reporting items, this field is more suited to representing existing systems (audit) than data interchange. Enumerated as: asset, liability, equity, income, gain, expense, loss, contr-to-equity, distr-from-equity, comprehensive-income, other.",主勘定科目区分,"主勘定科目の種別。FASB Concepts 6および、同様の国際的な様式。xbrlInfoが他のXBRL項目と関係付けられる場合、データ交換より現存システム(audit)を示すべき。_x000D_
[設定値のリスト]_x000D_
(asset：資産)、(liability：負債)、(equity：資本)、(income：収益)、(gain：利得)、(expense：費用)、(loss：損失)、(contr-to-equity：資本増加)、(distr-from-equity：資本減少)、(comprehensive-income：包括利益)、(other：その他)",CO17-03
307,2,Attribute,,cor,Detail_ Account Identifier,Account Classification Description,,String,,,0..1,Free format description of the account classification,主勘定科目区分説明,主勘定科目の区分の説明。,CO17-04
308,2,Attribute,,cor,Detail_ Account Identifier,Parent Account Number,,String,,,0..1,Roll up item from child natural account to parent natural account.,親勘定科目コード,子勘定科目から親勘定科目に包み込む科目。,CO17-05
309,2,Attribute,,cor,Detail_ Account Identifier,Purpose of Account,,Token,,,0..1,"Code related to usage for account aggregate - Consolidating, European, IFRS, Offsetting, Primary, Tax, USGAAP, Japanese, Other. Japanese companies will use this for the tax required offsetting entry. If left blank, assumes default accounting method for company.",勘定科目目的,"勘定科目群の使用法を示すコード。連結、European, IFRS, 見返、プライマリ, 税, USGAAP, Japanese,その他。日本企業では、見返仕訳で要求される税務処理に利用するかもしれない。空白の場合、企業の既定の勘定方法とみなす。_x000D_
[設定値のリスト]_x000D_
(consolidating：連結)、(european：ヨーロッパ)、(ifrs：IFRS)、(offsetting：見返)、(primary：プライマリ)、(tax：税)、(usgaap：US GAAP)、(japanese：日本)、(other：その他)",CO17-06
310,2,Attribute,,cor,Detail_ Account Identifier,Purpose of Account Description,,String,,,0..1,Description of usage for aggregate account,勘定科目目的説明,勘定科目群の使用法の説明。,CO17-07
311,2,Attribute,,cor,Detail_ Account Identifier,Account Type,,Token,,,0..1,"Type of account. Enumerated as: account, bank, employee, customer, job, vendor, measurable, statistical, other.",科目種別,"科目の種別。_x000D_
[設定値のリスト]_x000D_
(account：勘定科目)、(bank：銀行)、(employee：従業員)、(customer：顧客)、(job：ジョブ)、(vendor：仕入先)、(measurable：計測可能物)、(statistical：統計)、(other：その他)",CO17-08
312,2,Attribute,,cor,Detail_ Account Identifier,Account Type Description,,String,,,0..1,Free format description of the account type,科目種別説明,科目の種別の説明。,CO17-09
313,2,Attribute,,cor,Detail_ Account Identifier,Accounting Method,,Token,,,0..1,"For this entry, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",仕訳会計処理方法,"この仕訳の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他_x000D_
[設定値のリスト]_x000D_
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)",CO17-10
314,2,Attribute,,cor,Detail_ Account Identifier,Accounting Method Description,,String,,,0..1,Free format description of the entry accounting method,仕訳会計処理方法説明,仕訳の会計処理方法の説明。,CO17-11
315,2,Attribute,,cor,Detail_ Account Identifier,Accounting Method Purpose,,Token,,,0..1,"For this entry, the reporting purpose represented - from book, tax, management, statutory, other",仕訳会計処理方法目的,"仕訳の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",CO17-12
316,2,Attribute,,cor,Detail_ Account Identifier,Accounting Method Purpose Description,,String,,,0..1,Free format description of the entry accounting method purpose,仕訳会計処理方法目的説明,仕訳の会計処理方法の目的の説明。,CO17-13
317,2,Attribute,,cor,Detail_ Account Identifier,Account Active,,Boolean,,,0..1,"Boolean to indicate whether the account is active (=""true"") or inactive (=""false"")",科目有効性,科目が有効か無効かを示すブール値。,CO17-14
318,2,Composition,,cor,Detail_ Account Identifier,,,,cor,Subaccount,0..*,Class to hold multiple accountSubIDs and Descriptions,【サブ科目情報】,複数のaccountSubIDと説明文を含むタプル。,CO17-15
319,1,Class,,muc,Detail_ Multicurrency,,,,,,0..*,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のセクション。－現在および原取引時の、換算レートおよび金額の記録に使用される。_x000D_
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。",MU01
320,2,Attribute,,muc,Detail_ Multicurrency,Multicurrency Exchange Rate Date,,Date Time,,,0..1,Date of exchange rate (other than original transaction date) on which amount is expressed as amountRestatedAmount or amountTriangulationAmount,換算レート日付,（原取引の日付ではなく）、amountRestatedAmountまたはamountTriangulationAmountが示された換算レートの日付。,MU01-01
321,2,Attribute,,muc,Detail_ Multicurrency,Multicurrency Foreign Currency Amount,,Monetary,,,0..1,The amount in the foreign currency identified by amountRestatedCurrency as of multicurrencyDetailExchangeRateDate.,換算額,amountRestatedCurrencyで指定された外貨での、multicurrencyDetailExchangeRateDate時点の、換算額。,MU01-02
322,2,Attribute,,muc,Detail_ Multicurrency,Multicurrency Foreign Currency,,QName,,,0..1,The currency in which amountRestatedAmount is expressed. Recommended ISO 4217 coding.,換算通貨,amountRestatedAmountで使用される通貨。ISO4217コードを推奨。,MU01-03
323,2,Attribute,,muc,Detail_ Multicurrency,Multicurrency Exchange Rate,,Pure,,,0..1,Exchange rate used to convert amountRestatedAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by foreign currency),換算レート,amountRestatedAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨を外貨通貨で割った値）,MU01-04
324,2,Attribute,,muc,Detail_ Multicurrency,Multicurrency Exchange Rate Source,,String,,,0..1,"Source of Exchange Rate for restated amount - for example, Reuters, Bloomberg",換算レート情報源,"外貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。",MU01-05
325,2,Attribute,,muc,Detail_ Multicurrency,Multicurrency Exchange Rate Type,,String,,,0..1,"Type of Exchange Rate for restated amount - for example, spot rate, forward contract etc.",換算レート種別,外貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。,MU01-06
326,2,Attribute,,muc,Detail_ Multicurrency,Multicurrency Triangulation Currency Amount,,Monetary,,,0..1,The amount in the triangulation currency identified by amountTriangulationCurrency as of multicurrencyDetailExchangeRateDate.,トライアンギュレーション通貨換算額,amountTriangulationCurrencyで指定されたトライアンギュレーション通貨での、multicurrencyDetailExchangeRateDate時点の換算額。,MU01-07
327,2,Attribute,,muc,Detail_ Multicurrency,Multicurrency Triangulation Currency,,QName,,,0..1,The currency used for tringulation between amountRestatedCurrency and the home currency. Recommended ISO 4217 coding.,トライアンギュレーション通貨,amountRestatedCurrencyと自国通貨間のトライアンギュレーション取引で使用される通貨。ISO4217コードを推奨。,MU01-08
328,2,Attribute,,muc,Detail_ Multicurrency,Multicurrency Triangulation Exchange Rate,,Pure,,,0..1,Exchange rate used to convert amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by triangulation currency),トライアンギュレーション通貨換算レート,amountTriangulationAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨をトライアンギュレーション通貨で割った値）,MU01-09
329,2,Attribute,,muc,Detail_ Multicurrency,Multicurrency Triangulation Exchange Rate Source,,String,,,0..1,"Source of Exchange Rate for triangulation amount - for example, Reuters, Bloomberg",トライアンギュレーション通貨換算レート情報源,"トライアンギュレーション通貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。",MU01-10
330,2,Attribute,,muc,Detail_ Multicurrency,Multicurrency Triangulation Exchange Rate Type,,String,,,0..1,"Type of Exchange Rate for triangulation amount - for example, spot rate, forward contract etc.",トライアンギュレーション通貨換算レート種別,トライアンギュレーション通貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。,MU01-11
