sequence,module,level,type,identifier,name,datatype,multiplicity,association_role,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
133,bus,5,A,,Period Description,String,0..1,,A description of this specific reporting period in this calendar.,期間説明,このカレンダーにおけるこの特定の期間の説明。,BU28-02,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarPeriod.bus_PeriodDescription,bus,Reporting Calendar_ Period,periodDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedReportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:periodDescription
134,bus,5,A,,Period Start Date,Date Time,0..1,,The beginning date/time of a period,期間開始日付,期間の開始日付/時刻,BU28-03,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarPeriod.bus_PeriodStartDate,bus,Reporting Calendar_ Period,periodStartDate,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedReportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:periodStartDate
135,bus,5,A,,Period End Date,Date Time,0..1,,The ending date/time of a period,期間終了日付,期間の終了日付/時刻,BU28-04,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarPeriod.bus_PeriodEndDate,bus,Reporting Calendar_ Period,periodEndDate,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedReportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:periodEndDate
136,bus,5,A,,Reporting Calendar_ Period Closed Date,Date Time,0..1,,"The date/time a period has been closed for activity. If this is present with a nill value (xsi:nill=""true"") then the period is not closed.",期間締日付,"この期間の活動が締め切られた日付/時刻。この値がニル値(xsi:nill=""true"")であれば、この期間は、締め切られていない。",BU28-05,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarPeriod.bus_ReportingCalendarPeriodClosedDate,bus,Reporting Calendar_ Period,reportingCalendarPeriodClosedDate,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedReportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:reportingCalendarPeriodClosedDate
137,cor,2,C,,Entry_ Header,,0..*,,Parent for entry headers/journal entry headers.,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,CO23-03,$.cor_AccountingEntries.cor_EntryHeader,cor,Entry_ Header,entryHeader,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader
138,cor,3,A,,Date Posted,Date Time,0..1,,Date this entry was posted (validated) to the general ledger. May not represent the date of accounting significance which is represented by 'postingDate'.,転記済日付,この仕訳が総勘定元帳に転記された(検証された)日付。 postingDateで示されるような会計上意味のある日付を表さないかもしれない。,CO22-01,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,cor,Entry_ Header,datePosted,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:datePosted
139,cor,3,A,,Creator,String,0..1,,Initials/name of operator originally entering.,仕訳作成者,最初に入力したオペレータのイニシャル/名前。,CO22-02,$.cor_AccountingEntries.cor_EntryHeader.cor_Creator,cor,Entry_ Header,creator,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:creator
140,cor,3,A,,Last Modifier,String,0..1,,Identification for the last person modifying this entry before posting.,仕訳最終更新者,転記前に最後にこの仕訳を修正した者の識別子。,CO22-03,$.cor_AccountingEntries.cor_EntryHeader.cor_LastModifier,cor,Entry_ Header,lastModifier,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:lastModifier
141,cor,3,A,,Responsible Person,String,0..1,,Identifier of person who created or originated or is otherwise responsible for the entry.,責任者,仕訳を作成したか、仕訳に責任を持つ者の識別子。,CO22-04,$.cor_AccountingEntries.cor_EntryHeader.cor_ResponsiblePerson,cor,Entry_ Header,responsiblePerson,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:responsiblePerson
142,cor,3,A,,Type Code,Token,0..1,,"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other",種別識別子,"以下の値のうちのひとつ。_x000D_
整理、予算、比較、外部会計事務所、通常、無視、消去、提案、反復、組替、シミュレーション、税、その他_x000D_
[設定値のリスト]_x000D_
(adjusting：整理)、(budget：予算)、(comparative：比較)、(external-accountant：外部会計事務所)、(standard：通常)、(passed-adjusting：無視)、(eliminating：消去)、(proposed：提案)、(recurring：反復)、(reclassifying：組替)、(simulated：シミュレーション)、(tax：税)、(other：その他)",CO22-05,$.cor_AccountingEntries.cor_EntryHeader.cor_TypeCode,cor,Entry_ Header,typeCode,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:typeCode
143,cor,3,A,,Posting Code,String,0..1,,"Code for posting to period, e.g., period 1-13, based on codes in an accounting period file. We do not recommend that software vendors export here, but suggest providing period end numbers for the buckets. Possibilities W1 through W53, M1 through M13, Q1-Q4. Developers and others creating output files are encouraged to supply an actual end date.",転記コード,転記の期間を表すコード。例えば、会計期間ファイルのコードにもとづく期間１～１３。ソフトウエアベンダーが、この値をエクスポートすることは推奨しない。期間の最終番号を提供することを勧める。可能な値としては、W1からW53、M1からM13、Q1からQ4など。開発者や出力ファイルの作成者には、実際の終了日付を提供することを勧める。,CO22-06,$.cor_AccountingEntries.cor_EntryHeader.cor_PostingCode,cor,Entry_ Header,postingCode,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:postingCode
144,cor,3,A,,Number of Entries,Integer,0..1,,The total number of entries.,仕訳総数,仕訳の総数。,CO22-07,$.cor_AccountingEntries.cor_EntryHeader.cor_NumberofEntries,cor,Entry_ Header,numberOfEntries,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:numberOfEntries
145,cor,3,A,,Comment,String,0..1,,Comment of the entry,仕訳摘要,仕訳の摘要,CO22-08,$.cor_AccountingEntries.cor_EntryHeader.cor_Comment,cor,Entry_ Header,comment,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:comment
146,cor,3,A,,Header_ Entry Date,Date Time,0..1,,"Represents the actual date/time of entry into computer (automated from system date, often misrepresented by changing system clock). Posting dates are maintained separately.",入力日付,コンピュータへ入力した実際の日付/時刻(システム日付から自動的に与えられ、システム時計の変更により、しばしば誤った値になる)を示す。 転記日付とは別に管理される。,CO22-09,$.cor_AccountingEntries.cor_EntryHeader.cor_HeaderEntryDate,cor,Entry_ Header,headerEntryDate,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:headerEntryDate
147,cor,3,A,,Source Journal,Token,0..1,,"Source journal. The code of the journal in which the entry is processed. The code must be a unique indication for a journal and is selected from the following enumerated list:

cd      cash disbursements (sending cheques to vendors)
cr      cash receipts (receiving cheques from others)
fa      fixed assets
gi      giro/other bank adjustments
gj      general journal
im      inventory management
jc      job cost
pj      purchase journal (liabilities from purchases)
pl      payroll journal
sj      sales journal
se      standard entries
ud      user defined
ot      other sources of entries",元仕訳帳種別,"元仕訳帳。仕訳が処理される仕訳帳のコード。コードは仕訳帳に一意な指標であり、以下から選択する。_x000D_
出金(仕入先への小切手送付)、入金(他者からの小切手受領)、固定資産、振替、一般仕訳帳、在庫管理、個別原価、仕入帳(仕入による負債)、賃金台帳、売上台帳、通常仕訳、ユーザ定義、その他_x000D_
[設定値のリスト]_x000D_
(cd：出金)、(cr：入金)、(fa：固定資産)、(gi：振替)、(gj：一般仕訳帳)、(im：在庫管理)、(jc：個別原価)、(pj：仕入帳)、(pl：賃金台帳)、(sj：売上台帳)、(se：通常仕訳)、(ud：ユーザ定義)、(ot：その他)",CO22-10,$.cor_AccountingEntries.cor_EntryHeader.cor_SourceJournal,cor,Entry_ Header,sourceJournal,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:sourceJournal
148,cor,3,A,,Journal Description,String,0..1,,"Source journal (full description of general journal, payroll journal, accountant entries). A more easily readable journal indication. The most common journals are: Purchases, Sales, Cash, and General Journal.",元仕訳帳説明,元仕訳帳(一般仕訳、給与台帳、会計事務所入力の完全な説明)。 よりわかりやすい仕訳帳の指標。 最も一般的な仕訳帳は、次の通り。 仕入、売上、現金、一般仕訳。,CO22-11,$.cor_AccountingEntries.cor_EntryHeader.cor_JournalDescription,cor,Entry_ Header,journalDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:journalDescription
149,cor,3,A,,Entry Origin,String,0..1,,"Origin of entry: accrual, manual entry, imported entry, exchange gain or loss",仕訳起源,仕訳の起源。発生、手入力、インポート入力、為替換算による損益。,CO22-12,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryOrigin,cor,Entry_ Header,entryOrigin,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryOrigin
