sequence,module,level,type,identifier,name,datatype,multiplicity,association_role,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
268,bus,4,A,,City,String,0..1,,City,住所都市,住所の都市。,BU21-08,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyAddress.bus_City,bus,Party_ Address,city,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyAddress/gl-bus:city
269,bus,4,A,,State or Province,String,0..1,,"State, province or region",住所州,住所の州や地方。,BU21-09,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyAddress.bus_StateorProvince,bus,Party_ Address,stateOrProvince,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyAddress/gl-bus:stateOrProvince
270,bus,4,A,,Country,String,0..1,,Country,住所国,住所の国。,BU21-10,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyAddress.bus_Country,bus,Party_ Address,country,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyAddress/gl-bus:country
271,bus,4,A,,Zip or Postal Code,String,0..1,,Zip or other postal code,住所郵便番号,住所の郵便番号。,BU21-11,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyAddress.bus_ZiporPostalCode,bus,Party_ Address,zipOrPostalCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyAddress/gl-bus:zipOrPostalCode
272,bus,4,A,,Active Indicator,Boolean,0..1,,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",住所有効性,住所が有効か無効かを示すブール値。,BU21-12,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyAddress.bus_ActiveIndicator,bus,Party_ Address,activeIndicator,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyAddress/gl-bus:activeIndicator
273,bus,3,C,,Party_ Web Site,,0..*,,Primary web site of the party.,【事業体Webサイト】,事業体の代表ウェブサイト。,CO14-09,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyWebSite,bus,Party_ Web Site,partyWebSite,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyWebSite
274,bus,4,A,PK,Web Site URL,anyURI,0..1,,Valid URL of the web site. Should be full URL.,WebサイトURL,ウェブサイトの有効なURL。 完全なURLであるべき。,BU16-01,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyWebSite.bus_WebSiteURL,bus,Party_ Web Site,webSiteUrl,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyWebSite/gl-bus:webSiteUrl
275,bus,4,A,,Web Site Description,String,0..1,,Description of the web site.,Webサイト説明,ウェブサイトの説明。,BU16-02,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyWebSite.bus_WebSiteDescription,bus,Party_ Web Site,webSiteDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyWebSite/gl-bus:webSiteDescription
276,bus,3,C,,Party_ Contact,,0..*,,Information about contacts.,【担当者情報】,担当者に関する情報。,CO14-10,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact,bus,Party_ Contact,partyContact,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact
277,bus,4,A,,Contact Prefix,String,0..1,,"Prefix (e.g. Dr., Mr., Mrs.)",敬称,敬称(Dr.、Mr.、Mrs.など),BU22-01,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactPrefix,bus,Party_ Contact,contactPrefix,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactPrefix
278,bus,4,A,,Contact Last Name,String,0..1,,Last or family name,姓,姓,BU22-02,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactLastName,bus,Party_ Contact,contactLastName,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactLastName
279,bus,4,A,,Contact First Name,String,0..1,,First or given name,名,名、クリスチャンネーム,BU22-03,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactFirstName,bus,Party_ Contact,contactFirstName,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactFirstName
280,bus,4,A,,Contact Suffix,String,0..1,,"Suffix (e.g. MD, CPA, Jr.)",付加名称,付加名称(MD、CPA、Jr.など),BU22-04,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactSuffix,bus,Party_ Contact,contactSuffix,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactSuffix
281,bus,4,A,,Contact Attention Line,String,0..1,,Attention Line,アテンションライン,アテンションライン,BU22-05,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactAttentionLine,bus,Party_ Contact,contactAttentionLine,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactAttentionLine
282,bus,4,A,,Contact Position Role,String,0..1,,Position or role,地位/役職,地位や役職。,BU22-06,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactPositionRole,bus,Party_ Contact,contactPositionRole,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactPositionRole
283,bus,4,A,,Contact Contact Type,String,0..1,,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,BU22-07,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactContactType,bus,Party_ Contact,contactContactType,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactContactType
284,bus,4,A,,Contact Location ID cross reference,String,0..1,,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,BU22-08,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactLocationIDcrossreference,bus,Party_ Contact,contactLocationIdCrossReference,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactLocationIdCrossReference
285,bus,4,A,,Contact Active,Boolean,0..1,,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",担当者有効性,担当者が有効か無効かを示すブール値。,BU22-09,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactActive,bus,Party_ Contact,contactActive,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactActive
286,bus,4,C,,Contact_ Phone,,0..*,,Contact Phone Number,【担当者電話番号】,担当者の電話番号。,BU22-10,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactPhone,bus,Contact_ Phone,contactPhone,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactPhone
287,bus,5,A,PK,Phone Number,String,0..1,,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,BU03-01,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactPhone.bus_PhoneNumber,bus,Contact_ Phone,phoneNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactPhone/gl-bus:phoneNumber
288,bus,5,A,,Phone Number Description,String,0..1,,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",BU03-02,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactPhone.bus_PhoneNumberDescription,bus,Contact_ Phone,phoneNumberDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactPhone/gl-bus:phoneNumberDescription
289,bus,4,C,,Contact_ Fax,,0..*,,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。,BU22-11,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactFax,bus,Contact_ Fax,contactFax,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactFax
290,bus,5,A,PK,Fax Number,String,0..1,,Fax Number,FAX番号,FAX番号。,BU08-01,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactFax.bus_FaxNumber,bus,Contact_ Fax,faxNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactFax/gl-bus:faxNumber
291,bus,5,A,,Fax Number Usage,String,0..1,,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),BU08-02,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactFax.bus_FaxNumberUsage,bus,Contact_ Fax,faxNumberUsage,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactFax/gl-bus:faxNumberUsage
292,bus,4,C,,Contact_ Email,,0..*,,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。,BU22-12,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactEmail,bus,Contact_ Email,contactEmail,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactEmail
293,bus,5,A,PK,Email Address,String,0..1,,Email Address,Eメールアドレス,Eメールアドレス。,BU13-01,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactEmail.bus_EmailAddress,bus,Contact_ Email,emailAddress,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactEmail/gl-bus:emailAddress
294,bus,5,A,,Email Address Usage,String,0..1,,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),BU13-02,$.btx_BusinessTransactions.btx_EntityParty.cor_PartyContact.bus_ContactEmail.bus_EmailAddressUsage,bus,Contact_ Email,emailAddressUsage,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactEmail/gl-bus:emailAddressUsage
295,cor,3,A,,Default Accounting Method Purpose,Token,0..1,,"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other",既定会計処理方法目的,"明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",CO14-11,$.btx_BusinessTransactions.btx_EntityParty.cor_DefaultAccountingMethodPurpose,cor,Entity_ Party,defaultAccountingMethodPurpose,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-cor:defaultAccountingMethodPurpose
296,cor,3,A,,Default Accounting Method Purpose Description,String,0..1,,Free format description of the default accounting method purpose,既定会計処理方法目的説明,既定の会計処理方法目的の説明。,CO14-12,$.btx_BusinessTransactions.btx_EntityParty.cor_DefaultAccountingMethodPurposeDescription,cor,Entity_ Party,defaultAccountingMethodPurposeDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-cor:defaultAccountingMethodPurposeDescription
297,cor,3,A,,Fiscal Year Start,Date,0..1,,"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,CO14-13,$.btx_BusinessTransactions.btx_EntityParty.cor_FiscalYearStart,cor,Entity_ Party,fiscalYearStart,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-cor:fiscalYearStart
298,cor,3,A,,Fiscal Year End,Date,0..1,,"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,CO14-14,$.btx_BusinessTransactions.btx_EntityParty.cor_FiscalYearEnd,cor,Entity_ Party,fiscalYearEnd,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-cor:fiscalYearEnd
299,bus,3,C,,Specified_ Accounting Method Structure,,0..*,Specified,Class for identifying the methods of accounting used by the entity for different reporting purposes,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。,CO14-15,$.btx_BusinessTransactions.btx_EntityParty.cor_SpecifiedAccountingMethodStructure,bus,Accounting Method Structure,specifiedAccountingMethodStructure,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:specifiedAccountingMethodStructure
300,bus,4,A,,Accounting Method,Token,0..1,,"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",会計処理方法,"事業体の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他_x000D_
[設定値のリスト]_x000D_
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)",BU25-01,$.btx_BusinessTransactions.btx_EntityParty.cor_SpecifiedAccountingMethodStructure.bus_AccountingMethod,bus,Accounting Method Structure,accountingMethod,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:specifiedAccountingMethodStructure/gl-bus:accountingMethod
301,bus,4,A,,Accounting Method Description,String,0..1,,Free format description of the accounting method,会計処理方法説明,会計処理方法の説明。,BU25-02,$.btx_BusinessTransactions.btx_EntityParty.cor_SpecifiedAccountingMethodStructure.bus_AccountingMethodDescription,bus,Accounting Method Structure,accountingMethodDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:specifiedAccountingMethodStructure/gl-bus:accountingMethodDescription
302,bus,4,A,,Accounting Method Purpose,Token,0..1,,"For this entity, the reporting purpose represented - from book, tax, management, statutory, other",会計処理方法目的,"事業体の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",BU25-03,$.btx_BusinessTransactions.btx_EntityParty.cor_SpecifiedAccountingMethodStructure.bus_AccountingMethodPurpose,bus,Accounting Method Structure,accountingMethodPurpose,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:specifiedAccountingMethodStructure/gl-bus:accountingMethodPurpose
303,bus,4,A,,Accounting Method Purpose Description,String,0..1,,Free format description of the accounting method purpose,会計処理方法目的説明,会計処理方法の目的の説明。,BU25-04,$.btx_BusinessTransactions.btx_EntityParty.cor_SpecifiedAccountingMethodStructure.bus_AccountingMethodPurposeDescription,bus,Accounting Method Structure,accountingMethodPurposeDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:specifiedAccountingMethodStructure/gl-bus:accountingMethodPurposeDescription
304,bus,4,A,,Accounting Method Start Date,Date Time,0..1,,Accounting Method Start Date,会計処理方法開始日付,会計処理方法の開始日。,BU25-05,$.btx_BusinessTransactions.btx_EntityParty.cor_SpecifiedAccountingMethodStructure.bus_AccountingMethodStartDate,bus,Accounting Method Structure,accountingMethodStartDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:specifiedAccountingMethodStructure/gl-bus:accountingMethodStartDate
305,bus,4,A,,Accounting Method End Date,Date Time,0..1,,Accounting Method End Date,会計処理方法終了日付,会計処理方法の終了日。,BU25-06,$.btx_BusinessTransactions.btx_EntityParty.cor_SpecifiedAccountingMethodStructure.bus_AccountingMethodEndDate,bus,Accounting Method Structure,accountingMethodEndDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:specifiedAccountingMethodStructure/gl-bus:accountingMethodEndDate
306,bus,3,C,,Assigned_ Accountant,,0..*,Assigned,Information about the relevant external accountant,【会計事務所情報】,関連する外部会計事務所に関する情報。,CO14-16,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant,bus,Accountant,assignedAccountant,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant
307,bus,4,A,,Accountant Name,String,0..1,,Name of the accountant,会計事務所名,会計事務所の名前。,BU26-01,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantName,bus,Accountant,accountantName,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantName
308,bus,4,A,,Accountant Type of Engagement,Token,0..1,,"Type of engagement being performed by external accountant. Enumerated as: audit, review, compilation, tax, other.",契約種別,"外部会計事務所によって実行される契約の種別。_x000D_
[設定値のリスト]_x000D_
(audit：監査)、(review：検査)、(compilation：帳簿作成)、(tax：税)、(other：その他)",BU26-02,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantTypeofEngagement,bus,Accountant,accountantTypeOfEngagement,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantTypeOfEngagement
309,bus,4,A,,Accountant Type of Engagement Description,String,0..1,,Free format description of the type of engagement,契約種別説明,契約種別の説明。,BU26-03,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantTypeofEngagementDescription,bus,Accountant,accountantTypeOfEngagementDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantTypeOfEngagementDescription
310,bus,4,C,,Accountant_ Address,,0..*,,Class which contains accountant address information.,【会計事務所住所】,会計事務所の住所情報を含むセクション。,BU26-04,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantAddress,bus,Accountant_ Address,accountantAddress,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantAddress
311,bus,5,A,,Name,String,0..1,,Address Name,住所名,住所の名前。,BU19-01,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantAddress.bus_Name,bus,Accountant_ Address,name,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantAddress/gl-bus:name
312,bus,5,A,,Description,String,0..1,,Address Description,住所説明,住所の説明。,BU19-02,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantAddress.bus_Description,bus,Accountant_ Address,description,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantAddress/gl-bus:description
313,bus,5,A,,Purpose,String,0..1,,Address Purpose,住所目的,住所の目的。,BU19-03,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantAddress.bus_Purpose,bus,Accountant_ Address,purpose,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantAddress/gl-bus:purpose
314,bus,5,A,,Location ID,String,0..1,,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,BU19-04,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantAddress.bus_LocationID,bus,Accountant_ Address,locationId,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantAddress/gl-bus:locationId
315,bus,5,A,,Building Number,String,0..1,,Building Number,住所建物番号,建物番号。,BU19-05,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantAddress.bus_BuildingNumber,bus,Accountant_ Address,buildingNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantAddress/gl-bus:buildingNumber
316,bus,5,A,,Street,String,0..1,,Street address,住所通り,住所の通り。,BU19-06,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantAddress.bus_Street,bus,Accountant_ Address,street,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantAddress/gl-bus:street
317,bus,5,A,,Address Detail,String,0..1,,Address Detail,住所詳細,住所詳細。,BU19-07,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantAddress.bus_AddressDetail,bus,Accountant_ Address,addressDetail,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantAddress/gl-bus:addressDetail
318,bus,5,A,,City,String,0..1,,City,住所都市,住所の都市。,BU19-08,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantAddress.bus_City,bus,Accountant_ Address,city,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantAddress/gl-bus:city
319,bus,5,A,,State or Province,String,0..1,,"State, province or region",住所州,住所の州や地方。,BU19-09,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantAddress.bus_StateorProvince,bus,Accountant_ Address,stateOrProvince,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantAddress/gl-bus:stateOrProvince
320,bus,5,A,,Country,String,0..1,,Country,住所国,住所の国。,BU19-10,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantAddress.bus_Country,bus,Accountant_ Address,country,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantAddress/gl-bus:country
321,bus,5,A,,Zip or Postal Code,String,0..1,,Zip or other postal code,住所郵便番号,住所の郵便番号。,BU19-11,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantAddress.bus_ZiporPostalCode,bus,Accountant_ Address,zipOrPostalCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantAddress/gl-bus:zipOrPostalCode
322,bus,5,A,,Active Indicator,Boolean,0..1,,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",住所有効性,住所が有効か無効かを示すブール値。,BU19-12,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantAddress.bus_ActiveIndicator,bus,Accountant_ Address,activeIndicator,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantAddress/gl-bus:activeIndicator
323,bus,4,C,,Accountant_ Contact,,0..*,,Accountant Contact Information Class,【会計事務所担当者情報】,会計事務所の担当者情報の構造体。,BU26-05,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantContact,bus,Accountant_ Contact,accountantContact,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantContact
324,bus,5,A,,Contact Prefix,String,0..1,,"Prefix (e.g. Dr., Mr., Mrs.)",敬称,敬称(Dr.、Mr.、Mrs.など),BU24-01,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantContact.bus_ContactPrefix,bus,Accountant_ Contact,contactPrefix,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantContact/gl-bus:contactPrefix
325,bus,5,A,,Contact Last Name,String,0..1,,Last or family name,姓,姓,BU24-02,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantContact.bus_ContactLastName,bus,Accountant_ Contact,contactLastName,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantContact/gl-bus:contactLastName
326,bus,5,A,,Contact First Name,String,0..1,,First or given name,名,名、クリスチャンネーム,BU24-03,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantContact.bus_ContactFirstName,bus,Accountant_ Contact,contactFirstName,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantContact/gl-bus:contactFirstName
327,bus,5,A,,Contact Suffix,String,0..1,,"Suffix (e.g. MD, CPA, Jr.)",付加名称,付加名称(MD、CPA、Jr.など),BU24-04,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantContact.bus_ContactSuffix,bus,Accountant_ Contact,contactSuffix,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantContact/gl-bus:contactSuffix
328,bus,5,A,,Contact Attention Line,String,0..1,,Attention Line,アテンションライン,アテンションライン,BU24-05,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantContact.bus_ContactAttentionLine,bus,Accountant_ Contact,contactAttentionLine,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantContact/gl-bus:contactAttentionLine
329,bus,5,A,,Contact Position Role,String,0..1,,Position or role,地位/役職,地位や役職。,BU24-06,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantContact.bus_ContactPositionRole,bus,Accountant_ Contact,contactPositionRole,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantContact/gl-bus:contactPositionRole
330,bus,5,A,,Contact Contact Type,String,0..1,,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,BU24-07,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantContact.bus_ContactContactType,bus,Accountant_ Contact,contactContactType,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantContact/gl-bus:contactContactType
331,bus,5,A,,Contact Location ID cross reference,String,0..1,,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,BU24-08,$.btx_BusinessTransactions.btx_EntityParty.cor_AssignedAccountant.bus_AccountantContact.bus_ContactLocationIDcrossreference,bus,Accountant_ Contact,contactLocationIdCrossReference,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:assignedAccountant/gl-bus:accountantContact/gl-bus:contactLocationIdCrossReference
